,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Age_Group_0_29,sex_ratio,literacy_rate
407,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,15396,2391675,123749,1364411,99.0,70.0
408,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,3651,1452956,38304,804186,95.0,61.0
409,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,9155,1879494,105012,1065734,100.0,69.0
410,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,18604,2115455,76098,1006543,99.0,66.0
411,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,100322,3537399,173785,2076492,99.0,75.0
412,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,15673,909872,78590,887052,102.0,83.0
413,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,4915,993666,53292,501585,102.0,68.0
414,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,34097,2760502,168881,1528178,99.0,75.0
415,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,5585,1435072,128617,828444,103.0,75.0
416,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,8960,1673652,32483,817905,99.0,68.0
417,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,1507,521658,32702,291371,100.0,66.0
418,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,4494,1428784,114194,835853,101.0,69.0
419,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,5172,1047411,208038,708322,98.0,72.0
420,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,20660,3326357,95487,1737345,95.0,66.0
421,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,5773,1186078,74310,666218,100.0,72.0
422,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,13495,2075870,190814,1193095,103.0,74.0
423,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,4667,1148990,56751,618923,99.0,70.0
424,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,75634,3325823,143093,1925296,99.0,75.0
425,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,4416,1132785,96092,627880,102.0,75.0
426,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,6445,2294369,91636,1301347,99.0,66.0
427,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,20623,3397857,414760,2096113,101.0,70.0
428,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,10219,1822626,47838,987538,101.0,72.0
429,Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,273,307120,8256,232286,94.0,73.0
430,Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,997,507967,105737,414878,97.0,75.0
431,Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,948,736015,49258,505558,96.0,74.0
432,Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,6394,1512801,152791,940424,96.0,79.0
433,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,27183,3922718,411313,2871903,87.0,61.0
434,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,13634,2904140,729283,2378289,88.0,57.0
435,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,24122,5102041,796756,3764404,90.0,62.0
